Welcome to AMWeb,10/28/2017,,,224,,,,
2 Amstrad CPC,10/29/2018,Simple test,Long description of this CVS,253,no,news,http://www.radicadesign.com/test.txt,no 
3 M4 Board,10/29/2019,Simple test,"beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur",224,no,news,http://www.radicadesign.com/test.txt,no 
4 Amstrad Community,10/29/2020,Simple test,Long description of this CVS,236,no,news,http://www.radicadesign.com/test.txt,no 
5 Games,10/29/2021,Simple test,"sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet",249,no,news,http://www.radicadesign.com/test.txt,no 
6 News from the web,10/29/2022,Simple test,"beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur",225,no,news,http://www.radicadesign.com/test.txt,no 
7 CPCWiki,10/29/2023,Simple test,Long description of this CVS,224,no,news,http://www.radicadesign.com/test.txt,no 
8 Events,10/29/2024,Simple test,"orem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ",228,no,news,http://www.radicadesign.com/test.txt,no 
9 RetroAcademy,10/29/2017,Simple test,"orem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ",224,no,news,http://www.radicadesign.com/test.txt,no 
10 Amstrad CPC,10/29/2018,Simple test,Long description of this CVS,253,no,news,http://www.radicadesign.com/test.txt,no 
11 M4 Board,10/29/2019,Simple test,"beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur",224,no,news,http://www.radicadesign.com/test.txt,no 
12 Amstrad Community,10/29/2020,Simple test,Long description of this CVS,236,no,news,http://www.radicadesign.com/test.txt,no 
13 Games,10/29/2021,Simple test,"sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet",249,no,news,http://www.radicadesign.com/test.txt,no 
14 News from the web,10/29/2022,Simple test,"beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur",225,no,news,http://www.radicadesign.com/test.txt,no 
16 CPCWiki,10/29/2023,Simple test,Long description of this CVS,224,no,news,http://www.radicadesign.com/test.txt,no 
16 Events,10/29/2024,Simple test,"orem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ",228,no,news,http://www.radicadesign.com/test.txt,no 
